participant_ID,trial_number,B,A,reaction time,success
1,1,0,1,1,0
1,2,0,1,1,0
1,3,0,1,1,0
1,4,1,1,1,1
1,5,0,1,1,0
1,1,0,1,1,0
1,2,1,1,1,1
1,3,0,1,1,0
1,4,1,1,1,1
1,5,0,1,1,0
1,1,0,1,1,0
1,2,0,1,1,0
1,3,1,1,1,1
1,4,1,1,1,1
1,5,1,1,1,1
4,1,1,1,1,1
4,2,1,1,1,1
4,3,0,1,1,0
4,4,1,1,1,1
4,5,1,1,1,1
5,1,1,1,1,1
5,2,1,1,1,1
5,3,1,1,1,1
5,4,1,1,1,1
5,5,1,1,1,1
6,1,3,1,1.0264341,0
6,1,1,1,0.9568475,1
6,2,3,3,1.8732366,1
6,2,1,2,0.9573972,0
6,3,2,2,1.4899664,1
6,3,3,3,1.2068218,1
6,3,1,1,1.3902276,1
6,2,2,2,1.1073619,1
6,1,2,2,0.7904511,1